y_train,SingleTracks_y_pred_train,LivePerformance_y_pred_train,RadioProgram_y_pred_train,Album_y_pred_train
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,True
Live Performance,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Live Performance,False,False,True,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,True
Album,False,False,False,True
Live Performance,False,False,False,True
Album,False,False,False,True
Album,False,False,False,True
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,True,False
Single Tracks,False,False,False,True
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Radio Program,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Live Performance,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Live Performance,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,True
Live Performance,False,False,False,True
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Radio Program,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,True
Album,False,False,False,False
Live Performance,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Radio Program,False,False,False,False
Radio Program,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Live Performance,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Live Performance,False,False,False,False
Album,False,False,False,False
Live Performance,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,True
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,True
Radio Program,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Radio Program,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,True
Radio Program,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Radio Program,False,False,True,False
Radio Program,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Radio Program,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Live Performance,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Radio Program,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,True
Album,False,False,False,True
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
Album,False,False,False,False
